I-ONE Agent,AI 员工
Payment reminder from Frappé - (#{{ name }}),来自 Frappé 的付款提醒 - (#{{ name }})
Permissions update,权限更新
Personal Mobile No.,个人手机号
Phone calls,电话通话
Pinned View,置顶视图
Pipedrive,Pipedrive
Playback Speed,播放速度
Please check your access token,请检查您的访问令牌
Please fix the errors in the form,请修复表单中的错误
Please select a Priority,请选择优先级
Please select a lead gen form before syncing!,同步前请选择线索生成表单！
Please set a mobile number to make calls,请设置手机号以拨打电话
Please set a website to visit,请设置要访问的网站
Please set an email address to send emails,请设置邮箱地址以发送邮件
Please specify a reason for losing the lead.,请说明丢失线索的原因。
Please specify the reason for losing the lead.,请说明丢失该线索的原因。
Policy Name,策略名称
Preferences Updated Successfully,偏好设置更新成功
Primary Contact Set,已设置主要联系人
Primary email,主要邮箱
Primary mobile no,主要手机号
Primary phone,主要电话
Priorities must be unique,优先级必须唯一
Priority {0}: Priority Name is required,优先级 {0}：必填优先级名称
Priority {0}: Response Time is required,优先级 {0}：必填响应时间
Private or Public,私有或公开
Product Sync Issues,产品同步问题
Product sync started. Items will appear shortly.,产品同步已开始，物料将很快显示。
Profile Updated Successfully,个人资料更新成功
Public View,公开视图
Quick Entry Layout,快速录入布局
Quick filters updated successfully,快速筛选条件更新成功
Recording URL not found,未找到录音 URL
Reference document {0} {1} does not exist.,参考文档 {0} {1} 不存在。
Referenced WhatsApp message does not exist.,引用的 WhatsApp 消息不存在。
Referrals,转介绍
Refresh Apps,刷新应用
Refresh Companies,刷新公司
Reject Call,拒接电话
Relative,相对时间
Reload Columns,重新加载列
"Reminders will be sent <b>before the event starts</b>, based on the configured time",提醒将在 <b>事件开始前</b> 根据配置的时间发送
Remove All,移除全部
Remove Group,移除组
Remove Image,移除图片
Remove Last Column,移除最后一列
Remove Last Column (move fields to previous),移除最后一列（将字段移至前一列）
Remove Photo,移除照片
Remove Tab,移除标签页
Remove this user from the sales hierarchy before changing their role to Sales User,在将其角色更改为销售用户之前，请从销售层级中移除此用户
Remove {0} from the hierarchy. What should happen to their direct reports?,从层级中移除 {0}。其直接下属应如何处理？
Removed from hierarchy.,已从层级中移除。
Reopen lead/deal on new communication,收到新沟通时重新打开线索/商机
Replacing my current CRM,替换我当前的 CRM
Reporting & forecasting,报告与预测
Responded On,回复时间
Response & Follow Up,回复与跟进
Response Time,响应时间
Response Time is required,响应时间为必填项
Restart the SLA each time the customer replies (status changes to Open) and fulfill it when marked as Replied,每次客户回复（状态变为“待处理”）时重启 SLA，并在标记为“已回复”时完成 SLA
Restore Demo Data,恢复演示数据
Restrict Lead and Deal visibility based on the Sales Hierarchy tree. Managers can see all records owned by or assigned to their reports.,基于销售层级树限制线索和商机的可见性。经理可以看到其下属拥有或分配的所有记录。
Restrict visibility of Leads and Deals based on a reporting tree.,基于汇报树限制线索和商机的可见性。
Restrict visibility using a reporting tree,使用汇报树限制可见性
Retry Sync,重试同步
Rolling Response Due,滚动响应截止时间
Rolling Responses,滚动响应
SLA Policies,SLA 策略
SLA Policy Created,SLA 策略已创建
SLA Policy Deleted,SLA 策略已删除
SLA Policy Duplicated,SLA 策略已复制
SLA Policy Name is required,SLA 策略名称为必填项
SLA Policy Status Updated,SLA 策略状态已更新
SLA Policy Updated,SLA 策略已更新
SLA set as default cannot be disabled,设为默认的 SLA 无法禁用
Sales Hierarchy,销售层级
Sales Hierarchy disabled,销售层级已禁用
Sales Hierarchy enabled,销售层级已启用
Sales Trend,销售趋势
Saved View,已保存视图
Search Template,搜索模板
Search User,搜索用户
Search users,搜索用户
See All Participants,查看所有参与者
Select Holiday List,选择假日列表
Select Medium,选择渠道
Select Priority,选择优先级
Select Provider,选择提供商
Select Source Type,选择来源类型
Select Type,选择类型
Select Workday,选择工作日
Select a Twilio App for your CRM,为您的 CRM 选择 Twilio 应用
Select a Value,选择一个值
Select all that apply,选择所有适用项
Select an Option,选择一个选项
Select the deal status to trigger the auto customer creation in ERPNext,选择触发 ERPNext 自动创建客户的商机状态
Select the default view for your calendar. This will be the initial view when you open the calendar,选择日历的默认视图。打开日历时将显示此初始视图
Select whether to display time with or without seconds,选择是否显示带秒数的时间
Select your ERPNext company to connect with,选择要连接的 ERPNext 公司
Send an Email,发送邮件
Sending comment...,正在发送评论...
Sending email...,正在发送邮件...
Set As Default,设为默认
Set Currency,设置货币
Set Default Priority,设置默认优先级
Set First Name,设置姓名
Set Location,设置位置
Set an Organization,设置组织
Set as default SLA,设为默认 SLA
Set location…,设置位置…
Set once the first admin completes the onboarding persona questionnaire,首次管理员完成入职角色问卷后设置
Set the Exotel number to be used for outgoing calls.,设置用于外呼的 Exotel 号码。
Set the Twilio number to be used for outgoing calls.,设置用于外呼的 Twilio 号码。
Set the name of your brand. Appears in the left sidebar.,设置您的品牌名称。将显示在左侧边栏中。
Set up my sales pipeline,设置我的销售漏斗
"Set working days, hours, and holidays by selecting a predefined schedule or creating a new one",通过选择预定义计划或创建新计划来设置工作日、工作时间和节假日
Setting Up,设置
Setting disabled successfully,设置已禁用
Setting enabled successfully,设置已启用
Setting up Frappe Mail requires you to have an API key and API Secret of your email account. Read more,设置 Frappe Mail 需要电子邮件账户的 API 密钥和 API 密钥口令。了解更多
Setting up GMail requires you to enable two factor authentication and app specific passwords. Read more,设置 GMail 需要您启用双重身份验证和应用专用密码。了解更多
Setting up Outlook requires you to enable two factor authentication and app specific passwords. Read more,设置 Outlook 需要您启用双重身份验证和应用专用密码。了解更多
Setting up Sendgrid requires you to enable two factor authentication and app specific passwords. Read more,设置 Sendgrid 需要您启用双重身份验证和应用专用密码。了解更多
Setting up Sparkpost requires you to enable two factor authentication and app specific passwords. Read more,设置 Sparkpost 需要您启用双重身份验证和应用专用密码。了解更多
Setting up Yahoo requires you to enable two factor authentication and app specific passwords. Read more,设置 Yahoo 需要您启用双重身份验证和应用专用密码。了解更多
Setting up Yandex requires you to enable two factor authentication and app specific passwords. Read more,设置 Yandex 需要您启用双重身份验证和应用专用密码。了解更多
Setting updated successfully,设置已更新
Settings saved,设置已保存
Settings updated successfully,设置已更新
"Setup the Exchange Rate Provider other than 'Frankfurter' in settings, as default provider does not support currency conversion for {0} to {1}.",请在设置中将汇率提供商配置为 'Frankfurter' 以外的提供商，因为默认提供商不支持从 {0} 到 {1} 的货币转换。
Show Border,显示边框
Show Label,显示标签
Show Less,收起
Show timestamps in the activity timeline as relative time (5 mins ago) or an exact date & time,在活动时间线中以相对时间（如 5 分钟前）或确切日期和时间显示时间戳
Site URL,站点 URL
Site URL is required,站点 URL 为必填项
Site connection validated,站点连接已验证
Skip for now,暂且跳过
Some error occurred while creating SLA Policy,创建 SLA 策略时发生错误
Some error occurred while renaming SLA policy,重命名 SLA 策略时发生错误
Some error occurred while updating SLA policy,更新 SLA 策略时发生错误
Some users could not be added,部分用户无法添加
"Something went wrong, try again later",发生错误，请稍后重试
Source disabled successfully,数据源已成功禁用
Source enabled successfully,数据源已成功启用
Spreadsheets,电子表格
Start & End Time Are Required,必须填写开始时间和结束时间
Start Date cannot be after end date,开始日期不能晚于结束日期
Start Time is required,必须填写开始时间
Step {0} of {1},第 {0} 步，共 {1} 步
"Switch between light, dark, or system theme",在浅色、深色或系统主题之间切换
Switch between outgoing email accounts when sending emails,发送邮件时在发件邮箱账户之间切换
Sync Products with ERPNext,与 ERPNext 同步产品
Sync Successful!,同步成功！
"Sync Successful, CRM Lead: {0}!",同步成功，CRM 线索：{0}！
"Sync your Contacts, Email and Calendars",同步您的联系人、邮件和日历
Synced,已同步
Syncing started in background,后台同步已开始
System Defaults,系统默认值
Template Deleted Successfully,模板已成功删除
This column contains fields. Are you sure you want to remove it?,此列包含字段。确定要删除它吗？
This field is required,此字段为必填项
This is my first CRM,这是我的第一个 CRM
This section contains fields. Are you sure you want to remove it?,此部分包含字段。确定要删除它吗？
This will restore the demo data. Are you sure you want to continue?,这将恢复演示数据。确定要继续吗？
Time before the event when a reminder notification will be sent by default. This will be applied to all events unless a custom notification is set for a specific event.,默认情况下，在事件发生前发送提醒通知的时间。除非为特定事件设置了自定义通知，否则将应用于所有事件。
